Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
vintage-william-morris-strawberry-thief-botanical-print,William Morris - Strawberry Thief Fine Art Print,<p>Museum-grade giclée print of William Morris' iconic Victorian textile illustration. Printed on 200gsm archival matte paper in the UK.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Botanical, Victorian, William Morris, Wall Art, British Heritage",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
vintage-william-morris-strawberry-thief-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
vintage-william-morris-strawberry-thief-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
vintage-william-morris-strawberry-thief-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
hokusai-great-wave-kanagawa-fine-art-print,Katsushika Hokusai - The Great Wave off Kanagawa,<p>Classic Japanese ukiyo-e woodblock masterpiece reproduced with archival giclée pigments on heavy matte art paper. UK printed and dispatched.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Japanese Art, Woodblock, Classic Art, Ocean, Wave",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
hokusai-great-wave-kanagawa-fine-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
hokusai-great-wave-kanagawa-fine-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
hokusai-great-wave-kanagawa-fine-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
vintage-camellia-japonica-botanical-print,Pierre-Joseph Redouté - Camellia Japonica Botanical Illustration,<p>Botanical court painter Redouté's delicate French study of flowering camellia blooms. Premium heavyweight fine art paper.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Botanical, Floral, French Art, Vintage, Redoute",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
vintage-camellia-japonica-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
vintage-camellia-japonica-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
vintage-camellia-japonica-botanical-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
bauhaus-exhibition-1923-typography-art-print,Bauhaus Exhibition Weimar 1923 Geometric Print,<p>Iconic German modernist exhibition poster featuring striking geometric typography and primary color blocking.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Bauhaus, Modernist, Graphic Design, Typography, Minimalist",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
bauhaus-exhibition-1923-typography-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
bauhaus-exhibition-1923-typography-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
bauhaus-exhibition-1923-typography-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
vintage-london-underground-retro-travel-poster,Vintage London Underground Royal Botanic Gardens Poster,<p>Classic 1930s British transport poster celebrating Kew Gardens. Vibrant vintage lithograph reproduction.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"London, Retro Travel, British Rail, Kew Gardens, Vintage Poster",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
vintage-london-underground-retro-travel-poster,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
vintage-london-underground-retro-travel-poster,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
vintage-london-underground-retro-travel-poster,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
van-gogh-almond-blossom-giclee-print,Vincent van Gogh - Almond Blossom Masterpiece,<p>Poetic post-impressionist floral branches against turquoise skies. Printed using genuine archival inks.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Van Gogh, Impressionism, Floral, Classic Masterpiece",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
van-gogh-almond-blossom-giclee-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
